Rank,ADP,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PM,PTS,REB,AST,STL,BLK,TO
20,27.5,Kawhi Leonard,8.4,16.7,0.504,4.4,5.1,0.863,1.9,23.2,6.2,3.7,1.3,0.5,1.7
21,7.1,Giannis Antetokounmpo,9.7,17.1,0.565,8.0,11.8,0.683,0.9,28.3,11.6,5.7,1.1,1.0,3.6
22,25.0,Karl-Anthony Towns,7.5,15.0,0.498,4.4,5.2,0.849,2.1,21.4,8.5,4.6,0.7,0.7,2.8
23,14.4,Anthony Edwards,9.2,19.9,0.464,4.3,5.6,0.769,3.0,25.8,5.7,4.8,1.6,0.7,3.2
24,19.2,Mikal Bridges,9.1,19.2,0.475,4.7,5.4,0.88,2.4,25.4,4.6,3.4,1.1,0.6,1.8
25,26.4,Lauri Markkanen,8.0,16.4,0.489,5.0,5.7,0.87,2.9,23.9,8.0,1.9,0.7,0.6,1.9
26,24.4,Desmond Bane,8.2,17.6,0.47,2.8,3.1,0.89,3.4,22.6,5.4,4.0,1.2,0.4,2.2
27,31.0,Paul George,8.0,18.1,0.443,4.2,4.9,0.867,2.8,23.0,6.1,5.0,1.5,0.4,3.3
28,32.5,Bam Adebayo,7.9,14.7,0.536,4.5,5.6,0.803,0.0,20.2,9.8,3.5,1.3,0.8,2.6
29,24.6,LeBron James,10.1,20.1,0.501,4.2,5.5,0.761,2.3,26.7,7.6,6.0,0.8,0.5,3.1
30,43.9,Kristaps Porzingis,6.5,13.5,0.478,4.0,4.7,0.852,1.8,18.7,7.9,2.1,0.8,1.5,1.8
31,37.5,Myles Turner,5.9,11.0,0.534,2.9,3.7,0.774,1.5,16.1,7.4,1.3,0.6,2.3,1.5
32,40.6,Darius Garland,7.8,17.0,0.462,3.6,4.1,0.877,2.5,21.8,3.0,7.8,1.2,0.1,3.0
33,47.6,DeMar DeRozan,9.1,18.0,0.504,6.0,6.9,0.87,0.6,24.7,4.6,4.9,1.0,0.4,2.1
34,26.1,Fred VanVleet,6.1,15.3,0.4,3.1,3.5,0.888,3.1,18.4,3.9,6.4,1.6,0.5,2.1
35,33.0,Dejounte Murray,8.5,18.3,0.463,2.1,2.6,0.822,1.6,20.7,6.5,6.4,1.6,0.3,2.2
36,36.4,Jaylen Brown,10.0,20.2,0.494,3.9,5.1,0.769,2.6,26.4,6.7,3.6,1.1,0.3,2.9
37,36.7,Jalen Brunson,9.0,18.3,0.492,4.2,5.0,0.832,2.0,24.2,3.7,6.5,1.0,0.2,2.2
38,50.6,Zach LaVine,8.7,18.2,0.481,4.8,5.7,0.85,2.6,24.9,4.4,4.3,0.8,0.3,2.6
39,50.3,OG Anunoby,7.3,15.6,0.465,2.0,2.5,0.808,2.2,18.7,5.1,2.7,1.7,0.7,1.8
40,36.2,Cade Cunningham,7.9,18.8,0.422,3.2,3.8,0.838,1.8,20.9,6.4,6.6,1.3,0.7,3.3
41,38.6,De'Aaron Fox,9.4,18.9,0.496,4.7,6.1,0.774,1.6,25.1,4.2,6.1,1.2,0.4,2.7
42,42.1,Jamal Murray,7.8,16.6,0.466,2.8,3.4,0.833,2.7,21.0,4.1,6.3,1.0,0.3,2.3
43,42.8,Evan Mobley,7.1,12.9,0.551,2.7,4.0,0.682,0.3,17.2,9.3,2.9,0.9,1.7,1.9
44,29.6,Victor Wembanyama,6.4,14.0,0.454,3.6,4.6,0.779,1.0,17.3,8.2,1.8,0.7,2.3,1.8
45,57.1,Tyrese Maxey,7.8,16.0,0.485,3.1,3.6,0.857,2.9,21.5,3.3,4.4,0.8,0.3,1.3
46,49.1,Walker Kessler,4.9,6.8,0.72,1.4,2.6,0.515,0.0,11.2,10.3,1.1,0.4,2.7,1.0
47,39.8,Nikola Vucevic,7.2,14.8,0.49,1.5,1.8,0.806,1.5,17.4,11.0,3.2,0.7,0.7,1.8
48,54.3,Nicolas Claxton,5.1,7.8,0.657,1.7,3.0,0.573,0.0,12.0,9.1,1.8,0.8,2.4,1.3
49,50.9,Deandre Ayton,8.3,14.2,0.582,2.2,3.0,0.756,0.1,18.9,10.1,1.7,0.7,0.8,1.8
50,29.3,Pascal Siakam,8.2,17.2,0.478,4.5,5.8,0.77,1.2,22.1,7.8,5.7,1.0,0.5,2.4
51,49.1,Jordan Poole,7.3,16.7,0.439,4.3,4.9,0.891,3.0,22.0,3.5,4.8,0.9,0.3,3.1
52,40.2,Jrue Holiday,6.0,12.6,0.479,2.2,2.7,0.808,2.2,16.3,4.8,5.1,1.4,0.4,2.8
53,49.2,Chet Holmgren,5.0,10.4,0.48,3.0,4.0,0.752,1.3,14.3,9.2,1.6,0.5,2.0,1.2
54,51.9,Brandon Ingram,8.3,17.7,0.472,4.9,5.8,0.851,1.3,23.0,5.5,5.5,0.7,0.4,2.9
